z,zErr,photozcc2,photozerrcc2,photozd1,u,err_u,ra,dec,extinction_r
0.355865,0.20145,0.970884,0.166291,0.8998,22.768936,0.466944,154.08449604,47.15312258,0.024253
0.15304,0.030574,0.143955,0.027031,0.14286,19.325027,0.074758,154.11001338,47.14794561,0.024587
0.230736,0.152271,0.720164,0.150224,0.620613,23.469936,1.697579,154.09090909,47.12515485,0.024913
0.063911,0.035773,0.275664,0.16046,0.283514,22.886005,0.466554,154.14261484,47.10621717,0.025962
0.167124,0.029487,0.304419,0.101453,0.38768,22.345152,0.344644,154.12621047,47.07117045,0.025489
0.080645,0.032744,0.46005,0.223457,0.578501,23.124178,0.759039,154.11531342,47.07689694,0.025537
0.060982,0.042669,0.441177,0.285853,0.686534,23.381252,0.626541,154.11425413,47.08035052,0.02558
0.071427,0.040084,0.31608,0.129948,0.219927,22.69241,0.410435,154.10465593,47.09667396,0.025746
0.224517,0.025915,0.217506,0.091352,0.368119,22.234846,0.266255,154.09928425,47.15927008,0.024065
0.756703,0.14563,0.875237,0.101659,0.784948,22.355854,0.639585,154.09193461,47.1188194,0.025109
0.057773,0.020491,0.117754,0.155484,0.100189,22.336966,0.439408,154.08341338,47.13441066,0.024539
0.079098,0.024903,0.135317,0.081481,0.200942,21.956827,0.250553,154.06819323,47.15265219,0.024156
0.492928,0.133103,0.533399,0.063204,0.528357,22.066431,0.361302,154.14093851,47.09079278,0.025775
0.094612,0.042937,0.346913,0.14795,0.403123,23.168695,0.639051,154.13013784,47.06937437,0.025476
0.207101,0.041671,0.69247,0.12446,0.71171,24.788074,1.111366,154.12951745,47.07131229,0.0255
0.081252,0.070933,0.766891,0.212251,0.615383,22.75326,0.445229,154.12859454,47.07451845,0.025539
0.308482,0.020373,0.362615,0.066073,0.388843,24.552696,1.125618,154.12035577,47.09977012,0.025852
0.148774,0.116076,0.393814,0.164497,0.359737,22.18976,0.363249,154.10288162,47.11722509,0.025509
0.37212,0.045273,0.403012,0.047003,0.426066,22.774141,0.552867,154.09182121,47.16144014,0.02399
0.025259,8.347E-3,0.192559,0.156057,0.167445,22.228945,0.313367,154.08904074,47.1406127,0.024538
0.190649,0.056945,0.466429,0.135434,0.40687,23.136269,0.563708,154.08095517,47.15278843,0.024244
0.153381,0.052219,0.324505,0.105311,0.346145,23.419975,0.73566,154.07874837,47.14901486,0.024285
0.539501,0.02,0.541691,0.045191,0.561412,24.106817,1.026309,154.13738651,47.16104629,0.023771
0.20341,0.055262,0.557892,0.154552,0.621151,24.728594,1.17515,154.13686287,47.1432957,0.024647
0.185705,0.036496,0.381728,0.18945,0.577851,23.407101,0.920993,154.11852888,47.13191414,0.025155
0.109546,0.055585,0.653606,0.152551,0.891751,25.229713,1.488126,154.07031437,47.10543103,0.024315
0.135359,0.05751,0.550947,0.132257,0.709593,24.896011,1.125457,154.06201534,47.13104109,0.024032
0.147436,0.077838,0.377976,0.194544,0.433562,23.675764,0.943224,154.05675099,47.13856207,0.023915
0.114723,0.1586,0.225507,0.359019,0.575779,21.919577,0.796165,154.10961939,47.14351079,0.024731
